Protein_ID,log2FoldChange,padj,Gene_id,,,,,
501526,-1.10466177064105,2.00818337473379E-48,gene_7494,,,,,
484156,-1.10453527492002,2.46946241684465E-96,gene_2473,,,,,
479023,-1.10365637245958,5.67287922580679E-71,gene_919,,,,,
381089,-1.10361115391716,4.80790417996845E-12,gene_6198,,,,,
358031,-1.09885799656248,1.48947345231617E-41,gene_5664,,,,,
510455,-1.09793004426732,9.68178870129169E-115,gene_3895,,,,,
494357,-1.09643885246587,6.13513673738929E-40,gene_5399,,,,,
444230,-1.09265689769907,1.74470720306481E-08,gene_7629,,,,,
506618,-1.09054022875782,3.83483356998152E-05,gene_7071,,,,,
515492,-1.09019418056614,4.40026605435984E-47,gene_606,,,,,
511020,-1.08917218402817,7.60657811109537E-51,gene_4518,,,,,
201057,-1.08849037093455,8.66386406245284E-48,gene_2549,,,,,
493731,-1.08693123675623,2.36428721264822E-114,gene_5230,,,,,
470796,-1.08298832068594,7.66816478033028E-25,gene_1513,,,,,
489240,-1.08213873460201,5.53139049430573E-51,gene_3971,,,,,
474596,-1.08080948213925,3.20684436731977E-40,gene_6368,,,,,
477052,-1.07777020379271,8.78137574257505E-57,gene_334,,,,,
496831,-1.07764324775915,1.02608874378209E-67,gene_6097,,,,,
493481,-1.07578786040601,1.03669487488635E-28,gene_5159,,,,,
496800,-1.07559786494504,1.20116144854155E-43,gene_6088,,,,,
439100,-1.07516339292438,7.10525988675317E-75,gene_4766,,,,,
338802,-1.07434474503149,4.91295592419989E-35,gene_5340,,,,,
485928,-1.07372796296158,8.36218428003982E-37,gene_2995,,,,,
501420,-1.07353588379402,4.70731252573924E-94,gene_7464,,,,,
490449,-1.07175930367292,2.79862161285557E-32,gene_4283,,,,,
497654,-1.07085535897579,1.02500078682615E-79,gene_6349,,,,,
465731,-1.07064668194588,2.1840154360432E-27,gene_5270,,,,,
487250,-1.07019715963205,1.45176161191643E-24,gene_3347,,,,,
92639,-1.07011110473996,4.91459956761546E-35,gene_7003,,,,,
234866,-1.06804506248799,0.003733869871226,gene_3229,,,,,
499368,-1.0673914861821,1.03879111355806E-82,gene_6839,,,,,
443137,-1.06655182778211,8.07865809290682E-41,gene_6678,,,,,
487061,-1.06643840823828,1.60267477303946E-78,gene_3291,,,,,
477714,-1.06287222989214,4.67569371065753E-125,gene_529,,,,,
494623,-1.06281998192183,5.59583522664595E-92,gene_5469,,,,,
481428,-1.06114044073439,6.13220877703023E-46,gene_1640,,,,,
239789,-1.06021683860397,3.49263737337767E-57,gene_3288,,,,,
469995,-1.05978236527574,0.00110598463086,gene_485,,,,,
193802,-1.05878794589947,2.12658492975758E-52,gene_2390,,,,,
484989,-1.05862392682167,3.91138080544778E-54,gene_2738,,,,,
492164,-1.05712950415955,4.53440795115069E-48,gene_4784,,,,,
529435,-1.05673154378828,4.59854467621254E-06,gene_5003,,,,,
545033,-1.05193484651913,1.04337933703959E-39,gene_2295,,,,,
489362,-1.05135464856193,2.54697972177178E-61,gene_4002,,,,,
483449,-1.05120824164543,3.43507163916871E-33,gene_2248,,,,,
508449,-1.05077288374529,8.15162256288695E-123,gene_1674,,,,,
547286,-1.05076596275493,1.1818864724927E-45,gene_5457,,,,,
511354,-1.05039512509899,8.44391217252949E-36,gene_4895,,,,,
511667,-1.0493717374081,4.28708183146273E-87,gene_5246,,,,,
545286,-1.04898444416848,8.75149257119279E-47,gene_2648,,,,,
482614,-1.04854841903466,1.03521854339547E-71,gene_1999,,,,,
488987,-1.04817894016435,2.59437140451147E-34,gene_3880,,,,,
506924,-1.04713253036263,0.004575613796872,gene_7667,,,,,
479981,-1.04690977182486,4.6233049146126E-59,gene_1200,,,,,
96147,-1.04416425936866,1.42056605074041E-43,gene_7103,,,,,
480189,-1.04347470869881,7.40334533926659E-56,gene_1271,,,,,
537040,-1.04222605173219,6.81490078717421E-94,gene_207,,,,,
532422,-1.04211954298205,9.95478189708474E-65,gene_6016,,,,,
497549,-1.04145087267502,1.75766407852317E-35,gene_6317,,,,,
484637,-1.04008783006685,2.54871154195973E-67,gene_2628,,,,,
495975,-1.03984839194399,9.44783860713599E-19,gene_5839,,,,,
219661,-1.03935346058994,5.28545252234507E-52,gene_2917,,,,,
479717,-1.03838146294352,1.45982426807629E-19,gene_1116,,,,,
512941,-1.03691778150519,6.21893258939019E-90,gene_6655,,,,,
180594,-1.03514908933168,1.98758201924318E-49,gene_2104,,,,,
486571,-1.03506069125046,4.98520074819439E-89,gene_3171,,,,,
490255,-1.03373806697254,0.008296197743979,gene_4228,,,,,
512959,-1.0335251118625,3.62554002450699E-79,gene_6673,,,,,
14612,-1.03317152795338,2.14729029635128E-46,gene_308,,,,,
493141,-1.03285802679682,1.73036642826914E-70,gene_5054,,,,,
500282,-1.03099081460353,2.74539443794825E-71,gene_7116,,,,,
437111,-1.03093109964272,1.85674454388878E-39,gene_2398,,,,,
490312,-1.03015112515454,6.24659890132897E-25,gene_4238,,,,,
496772,-1.02806265384703,1.7437757492821E-36,gene_6080,,,,,
493115,-1.02775786054391,3.70310082134419E-28,gene_5042,,,,,
486449,-1.02706801038061,4.23048070847989E-08,gene_3143,,,,,
476916,-1.02647046896108,4.10931849538152E-20,gene_312,,,,,
450185,-1.02623674298664,5.37393260138766E-55,gene_1766,,,,,
484040,-1.02437052731185,3.14351636491501E-47,gene_2437,,,,,
490343,-1.02431769291288,2.56301977268069E-83,gene_4249,,,,,
541617,-1.02375784699418,4.90904607944359E-30,gene_5635,,,,,
545441,-1.02150742417424,4.84076841512593E-53,gene_2861,,,,,
225757,-1.02036357629532,2.96736527266672E-13,gene_3027,,,,,
534078,-1.01998208612609,4.17629271558834E-30,gene_904,,,,,
489160,-1.01917416207177,3.09416942649945E-102,gene_3940,,,,,
288187,-1.01515043819095,7.24525286397545E-77,gene_4295,,,,,
488439,-1.01484343920707,1.14760654448633E-08,gene_3717,,,,,
438737,-1.01298249057685,9.97961123980345E-58,gene_3954,,,,,
513031,-1.01218750803983,2.09615337383012E-77,gene_6757,,,,,
121006,-1.01096259393648,1.4117642671256E-08,gene_7619,,,,,
31175,-1.01055957068457,2.10032462384702E-32,gene_604,,,,,
491833,-1.00906865716039,9.98664870108997E-55,gene_4673,,,,,
441150,-1.00760483790925,3.74404882164894E-40,gene_5639,,,,,
491719,-1.00528152113006,1.11059038059901E-91,gene_4647,,,,,
498257,-1.00371649598411,2.32895494670829E-73,gene_6510,,,,,
507391,-1.00305208813067,3.102499041349E-37,gene_461,,,,,
248502,-1.00256476434385,1.08563067668634E-39,gene_3514,,,,,
475647,-1.00135741052839,0.001959237176683,gene_7775,,,,,
513192,-1.00070237990317,0.001057243894031,gene_6955,,,,,
476873,-1.00055297978578,6.65043170763724E-13,gene_295,,,,,
492114,-1.00050995923296,6.30128082031623E-75,gene_4765,,,,,
