# Program:featureCounts v2.0.2; Command:"featureCounts" "-p" "-O" "-M" "-T" "12" "-a" "Papla_JGI.gtf" "-o" "Counts_ATS_wo.txt" "ATS_wo_1_alg.bam" "ATS_wo_2_alg.bam" "ATS_wo_3_alg.bam" 
Geneid	Chr	Start	End	Strand	Length	ATS_wo_1_alg.bam	ATS_wo_2_alg.bam	ATS_wo_3_alg.bam
gene_730	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1841522;1841970;1842244;1842385;1842454;1842655	1841919;1842199;1842337;1842407;1842606;1842724	-;-;-;-;-;-	968	0	0	0
gene_732	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1844953;1845329;1845526;1845662;1845751;1845893;1845967;1846439;1846586;1846657	1845276;1845481;1845626;1845707;1845844;1845915;1846386;1846536;1846619;1846695	-;-;-;-;-;-;-;-;-;-	1332	12	15	16
gene_734	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1847887;1848287;1848534;1849161;1849320;1849510;1849744;1849957	1848233;1848485;1849118;1849274;1849466;1849697;1849912;1850280	+;+;+;+;+;+;+;+	2073	3865	4282	3997
gene_735	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1850503;1850743;1851001;1851601;1851757;1851941;1852032	1850695;1850953;1851549;1851714;1851906;1851982;1852188	+;+;+;+;+;+;+	1416	32	14	8
gene_736	scaffold_1;scaffold_1	1852276;1852408	1852361;1852585	+;+	264	14	5	10
gene_737	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1853030;1853131;1853227;1853357;1853426;1853501;1853537;1853628	1853055;1853181;1853268;1853374;1853472;1853503;1853576;1853653	-;-;-;-;-;-;-;-	253	142	120	145
gene_738	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1853964;1854127;1854953;1855060;1855167;1855328;1855568;1855729;1856023;1856145;1856234;1856326;1856423;1856534;1856711;1856994;1857136;1857246;1857334;1857609;1857747;1857809;1857930;1858093;1858163;1858320;1858418;1858538	1854078;1854917;1855019;1855125;1855292;1855527;1855694;1855979;1856103;1856191;1856283;1856378;1856498;1856666;1856956;1857095;1857200;1857290;1857565;1857705;1857772;1857891;1858046;1858110;1858277;1858374;1858496;1858884	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3810	912	943	921
gene_739	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1858885;1860065;1860474;1861306;1861744;1861964;1862103;1862552	1860010;1860431;1861260;1861699;1861921;1862056;1862507;1862974	-;-;-;-;-;-;-;-	3773	894	952	1108
gene_740	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1863133;1863265;1863386;1863449;1863675;1863948;1864209;1864273;1864394;1864493;1864711;1864819;1864996;1865238;1865308;1865404;1865702	1863217;1863318;1863398;1863605;1863909;1864161;1864230;1864358;1864449;1864663;1864772;1864959;1865192;1865262;1865355;1865658;1865963	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2083	1618	2069	1681
gene_741	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1865964;1866082;1866361;1866543;1866656;1866724;1866791;1867255;1867689;1867976;1868125	1866032;1866313;1866472;1866610;1866674;1866739;1867193;1867641;1867915;1868076;1868284	-;-;-;-;-;-;-;-;-;-;-	1794	2000	2215	2078
gene_742	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1868544;1868785;1868917;1868979;1869073;1869484;1869786;1870153;1870273;1870374;1870460	1868737;1868830;1868926;1869029;1869449;1869740;1870046;1870212;1870329;1870410;1870735	+;+;+;+;+;+;+;+;+;+;+	1626	4027	4796	4134
gene_744	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1871684;1872243;1872598;1873130;1873516;1873804;1873861;1874012	1872174;1872561;1873088;1873460;1873754;1873818;1873967;1874027	-;-;-;-;-;-;-;-	2009	5698	6650	6089
gene_745	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1874207;1874480;1874797;1874936;1875033;1875156;1875496;1875607;1875979	1874441;1874749;1874888;1874997;1875122;1875450;1875571;1875932;1876207	+;+;+;+;+;+;+;+;+	1675	1921	2139	1899
gene_746	scaffold_1;scaffold_1	1876208;1877013	1876971;1877338	-;-	1090	2018	2423	2310
gene_748	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1881737;1881858;1881994;1882074;1882201;1882802;1883061;1883202;1883642;1883779;1884275;1884479	1881814;1881917;1882030;1882156;1882754;1883013;1883158;1883598;1883731;1884231;1884429;1884538	-;-;-;-;-;-;-;-;-;-;-;-	2277	2071	2748	2247
gene_749	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1884685;1884806;1885104;1885279;1885414;1886006;1886188;1886365;1886690;1887056	1884761;1885068;1885234;1885369;1885957;1886140;1886320;1886645;1887005;1887790	+;+;+;+;+;+;+;+;+;+	2706	2807	3261	2793
gene_750	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1887637;1887940;1888461;1888648;1888783;1889036;1889206	1887896;1888413;1888591;1888741;1888989;1889161;1889770	-;-;-;-;-;-;-	1857	1795	2237	1883
gene_751	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1890230;1890908;1891041;1891445;1892036;1892224	1890849;1890989;1891402;1891989;1892177;1892725	+;+;+;+;+;+	2253	11878	12828	12683
gene_752	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1892974;1893257;1893599;1894026;1894391;1895176;1895272;1896293	1893136;1893547;1893982;1894346;1895140;1895229;1896248;1897422	+;+;+;+;+;+;+;+	4070	18	12	10
gene_753	scaffold_1;scaffold_1;scaffold_1	1897636;1897993;1898399	1897945;1898332;1898936	+;+;+	1188	6161	7754	6705
gene_755	scaffold_1	1900722	1901378	+	657	0	0	0
gene_756	scaffold_1	1903809	1904666	+	858	0	0	0
gene_757	scaffold_1	1904912	1906018	+	1107	0	0	0
gene_758	scaffold_1;scaffold_1	1906110;1906741	1906698;1906979	+;+	828	0	0	0
gene_759	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1906980;1909341;1911058;1911106;1911204;1911291;1911701;1911840;1912363;1912643;1913107	1909294;1911013;1911063;1911155;1911247;1911655;1911804;1912321;1912559;1912901;1913481	-;-;-;-;-;-;-;-;-;-;-	5870	2050	2459	2505
gene_760	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1913692;1914085;1914189;1914411;1914881;1915045;1915264;1915394;1915481	1914037;1914145;1914362;1914836;1915009;1915225;1915354;1915445;1916186	+;+;+;+;+;+;+;+;+	2166	3709	3985	3747
gene_761	scaffold_1;scaffold_1;scaffold_1;scaffold_1	1916682;1917328;1917458;1917573	1917278;1917414;1917517;1919348	+;+;+;+	2520	4268	4807	4956
gene_762	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1919924;1920031;1920260;1920417;1920626;1921246;1921424	1919975;1920211;1920367;1920574;1921193;1921316;1921797	+;+;+;+;+;+;+	1512	13	46	42
gene_763	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1921794;1922233;1922553;1922668;1922848;1922909;1923252;1923443;1923506;1923898;1924080;1924133	1922181;1922502;1922619;1922803;1922861;1923213;1923397;1923453;1923862;1924033;1924085;1924957	-;-;-;-;-;-;-;-;-;-;-;-	2661	1495	1879	1595
gene_764	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1925157;1925494;1925730;1925876;1926043;1926224;1926271;1926735;1927109;1927239	1925446;1925688;1925841;1925997;1926173;1926234;1926683;1927072;1927203;1927408	-;-;-;-;-;-;-;-;-;-	1877	58	56	79
gene_765	scaffold_1;scaffold_1;scaffold_1;scaffold_1	1927547;1927808;1928250;1928487	1927774;1928215;1928452;1928725	+;+;+;+	1078	227	293	230
gene_766	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1930098;1930185;1930316;1930577;1930877	1930146;1930268;1930532;1930834;1930991	+;+;+;+;+	723	0	2	0
gene_768	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1933306;1933827;1933943;1934347;1934525;1934723	1933790;1933891;1934298;1934488;1934688;1934838	-;-;-;-;-;-	1328	2241	2485	2454
gene_769	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1935075;1935503;1936363;1936812;1937110;1937206;1937324;1937479;1937532;1937650;1937855;1938087;1938156;1938283;1938392;1938533;1938799	1935442;1936320;1936769;1937060;1937167;1937282;1937430;1937488;1937612;1937812;1938045;1938111;1938239;1938347;1938491;1938761;1939609	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3843	1537	1655	1634
gene_770	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1939935;1940860;1941956;1942178;1942379	1940798;1941908;1942132;1942333;1943696	+;+;+;+;+	3564	1813	1631	1982
gene_771	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1943697;1944128;1944272;1944432;1944546;1944693;1944832;1945273	1944072;1944221;1944364;1944500;1944644;1944784;1945092;1945498	-;-;-;-;-;-;-;-	1310	3353	4013	3729
gene_772	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1945682;1946110;1946220;1946542;1946728;1946896;1947017;1947133;1947288;1947436	1946064;1946176;1946492;1946683;1946848;1946955;1947049;1947223;1947311;1947767	+;+;+;+;+;+;+;+;+;+	1526	3968	4885	4119
gene_773	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1947768;1948202;1948352;1948520;1948630;1948973;1949195	1948113;1948264;1948472;1948572;1948929;1949141;1949526	+;+;+;+;+;+;+	1384	629	784	687
gene_775	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1951337;1951581;1952138;1952579;1952673;1952828;1952938;1953442;1953668;1953743;1953798;1954049;1954157;1954263;1954546;1954904;1955036;1956462;1956627	1951514;1952088;1952533;1952620;1952781;1952894;1953398;1953623;1953698;1953753;1954005;1954110;1954216;1954499;1954870;1954998;1956418;1956581;1957467	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5316	3760	3778	3809
gene_777	scaffold_1;scaffold_1;scaffold_1;scaffold_1	1958649;1958897;1959032;1959439	1958846;1958988;1959391;1959957	+;+;+;+	1169	7294	7970	7377
gene_778	scaffold_1;scaffold_1;scaffold_1	1960436;1961866;1962276	1961804;1962186;1962684	-;-;-	2099	4778	5702	5074
gene_779	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1962884;1963648;1963795;1963921;1964044;1964184;1964295;1964402;1964553;1964638;1964871;1965043;1965205;1965396;1965734	1963495;1963748;1963874;1964000;1964142;1964250;1964355;1964509;1964594;1964827;1964998;1965155;1965357;1965684;1966932	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3322	1353	1584	1474
gene_780	scaffold_1;scaffold_1;scaffold_1;scaffold_1	1967335;1967433;1967913;1968190	1967384;1967835;1968141;1968626	+;+;+;+	1119	4724	6124	5610
gene_781	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1969889;1970233;1970366;1970749;1970908;1971129;1971236;1971430;1971653;1971792;1971995;1972182;1972418;1972574;1972865	1970183;1970320;1970706;1970862;1971078;1971179;1971387;1971600;1971742;1971930;1972135;1972374;1972511;1972792;1973006	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2401	530	707	617
gene_782	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1973157;1974052;1974145;1974442;1974800;1975187;1975430;1975684;1975996;1976069	1974018;1974092;1974390;1974742;1975149;1975384;1975648;1975949;1976011;1976158	+;+;+;+;+;+;+;+;+;+	2589	146	184	231
gene_783	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1976912;1977727;1977892;1978144;1978281;1978679;1979151;1979261;1980375	1977682;1977849;1978100;1978231;1978634;1979105;1979215;1980330;1980733	-;-;-;-;-;-;-;-;-	3466	3112	3540	3385
gene_784	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1980861;1981087;1981208;1981292;1981475;1981603;1982377;1982497;1982647;1983022	1981039;1981156;1981237;1981428;1981560;1982330;1982450;1982596;1982972;1983228	+;+;+;+;+;+;+;+;+;+	1937	1067	1152	1240
gene_785	scaffold_1;scaffold_1	1984311;1985343	1985038;1985565	-;-	951	0	0	0
gene_787	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1987504;1987978;1989292;1990801;1991540;1991817	1987931;1989245;1990752;1991502;1991776;1992385	-;-;-;-;-;-	4665	4386	4252	4680
gene_788	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1993935;1994064;1994309;1994431;1994555;1994670;1995014;1995103;1995325;1995442	1994017;1994264;1994387;1994510;1994626;1994974;1995057;1995232;1995392;1995477	-;-;-;-;-;-;-;-;-;-	1098	5568	6316	6047
gene_789	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1995981;1996232;1996413;1996747;1996952;1997215;1997466;1997601	1996094;1996301;1996660;1996912;1997173;1997385;1997512;1998129	-;-;-;-;-;-;-;-	1567	3822	4334	3942
gene_790	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	1998210;1998733;1998847;1999028;1999102;1999251;1999467;1999551;1999624;1999927	1998652;1998796;1998982;1999057;1999207;1999422;1999507;1999580;1999870;2000157	+;+;+;+;+;+;+;+;+;+	1500	571	681	640
gene_791	scaffold_1;scaffold_1;scaffold_1;scaffold_1	2000158;2000388;2000512;2000896	2000338;2000461;2000852;2001826	-;-;-;-	1527	808	996	972
gene_792	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2001955;2002346;2002797;2004083;2004169;2004375;2005046;2005749;2005863;2006085;2006664	2002282;2002754;2004047;2004125;2004329;2005005;2005704;2005821;2006037;2006611;2006962	+;+;+;+;+;+;+;+;+;+;+	4556	506	525	508
gene_793	scaffold_1;scaffold_1;scaffold_1;scaffold_1	2008326;2009065;2009251;2010056	2008980;2009198;2010013;2011187	+;+;+;+	2684	24	15	20
gene_794	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2011263;2011466;2011689;2012146;2012206	2011417;2011643;2012092;2012158;2012254	-;-;-;-;-	799	882	950	842
gene_795	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2012575;2012791;2013089;2013165;2013318;2014568;2014784;2014996;2015274;2015417;2015571;2015788;2016443;2016603;2016845	2012742;2013030;2013122;2013276;2014523;2014739;2014948;2015232;2015360;2015524;2015742;2016397;2016557;2016800;2016973	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3753	1966	2104	1820
gene_796	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2017192;2017294;2017639;2017784;2018003;2018170;2018563;2018694;2018815;2018954;2019063	2017228;2017584;2017708;2017940;2018103;2018509;2018620;2018754;2018887;2019011;2019280	-;-;-;-;-;-;-;-;-;-;-	1464	64	48	51
gene_798	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2020962;2021467;2021882;2022483;2022620;2022958;2023116;2023270;2023385	2021402;2021812;2022445;2022577;2022916;2023075;2023194;2023313;2023912	-;-;-;-;-;-;-;-;-	2512	0	4	3
gene_799	scaffold_1;scaffold_1;scaffold_1	2023945;2024343;2024736	2024251;2024678;2024912	+;+;+	820	225	302	237
gene_800	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2024914;2025254;2025572;2025758;2026220;2027117;2027274;2027426;2027698	2025218;2025525;2025715;2026177;2027072;2027227;2027383;2027646;2028194	-;-;-;-;-;-;-;-;-	2933	2798	3424	2990
gene_801	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2028340;2028570;2028814;2029532;2029796;2029915	2028526;2028755;2029481;2029748;2029872;2030095	+;+;+;+;+;+	1516	529	574	465
gene_802	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2030171;2030289;2030571;2030765;2030929;2031121;2031334	2030241;2030523;2030719;2030883;2031067;2031232;2031567	-;-;-;-;-;-;-	1059	236	250	279
gene_803	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2032258;2032614;2032715;2033215;2033446;2033557;2033779;2033919	2032569;2032667;2033175;2033401;2033510;2033735;2033880;2034454	-;-;-;-;-;-;-;-	1896	106	159	103
gene_804	scaffold_1;scaffold_1;scaffold_1	2034750;2035008;2035240	2034936;2035196;2035551	+;+;+	688	214	306	266
gene_805	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2035496;2036720;2037134;2037254;2037364	2036665;2037090;2037206;2037306;2037951	-;-;-;-;-	2255	4917	5850	5146
gene_806	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2038610;2038785;2039020;2039237;2039353;2039587;2039797	2038733;2038915;2039181;2039293;2039521;2039731;2039836	-;-;-;-;-;-;-	828	831	1043	950
gene_807	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2040265;2040577;2040978;2041124;2041264;2041508;2041698;2041812;2042191;2042625;2043195;2043633;2043910;2044150;2044216	2040517;2040933;2041080;2041219;2041465;2041649;2041768;2042146;2042581;2043025;2043585;2043865;2044092;2044167;2044285	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3246	1768	1890	1737
gene_808	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2045340;2045517;2045698;2045894;2046106	2045478;2045617;2045853;2046056;2046272	+;+;+;+;+	726	1065	1248	1141
gene_810	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2048486;2050004;2050077;2050189;2050361;2050448;2050530	2049955;2050031;2050140;2050312;2050401;2050486;2050554	-;-;-;-;-;-;-	1791	4728	5576	4924
gene_811	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2051417;2051741;2052483;2052650;2052822;2053046	2051689;2052437;2052601;2052775;2052999;2053811	+;+;+;+;+;+	2159	566	674	683
gene_812	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2053974;2054643;2054727;2054876;2055012;2055273	2054601;2054668;2054838;2054972;2055228;2055406	+;+;+;+;+;+	1214	3	32	23
gene_813	scaffold_1;scaffold_1	2055434;2056225	2056137;2056661	-;-	1141	1364	1586	1488
gene_814	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2056570;2057448;2058455;2058588;2058755;2058903	2057403;2058401;2058539;2058668;2058823;2059017	-;-;-;-;-;-	2138	1491	1781	1777
gene_815	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2059149;2059439;2059557;2059924;2060083;2060338;2060546;2060617	2059394;2059509;2059876;2060002;2060289;2060498;2060569;2061296	+;+;+;+;+;+;+;+	1788	1076	1192	1227
gene_816	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2061760;2062674;2062796;2063618;2064290	2062626;2062750;2063570;2064243;2064740	+;+;+;+;+	2796	18039	18381	19325
gene_817	scaffold_1;scaffold_1	2064741;2065012	2064963;2066119	-;-	1331	1439	1671	1602
gene_818	scaffold_1;scaffold_1;scaffold_1;scaffold_1	2066109;2066471;2066615;2066817	2066397;2066552;2066754;2066998	-;-;-;-	693	9276	10621	9719
gene_819	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2066999;2067295;2067377;2067569;2067840;2068082;2068163	2067248;2067307;2067521;2067785;2068034;2068111;2068376	-;-;-;-;-;-;-	1064	3086	3782	3295
gene_820	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2068552;2069085;2069935;2070002;2070217;2070388	2069034;2069890;2069954;2070169;2070341;2070607	+;+;+;+;+;+	1822	6374	7886	6446
gene_821	scaffold_1	2070608	2071666	+	1059	154	161	129
gene_823	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2074050;2074421;2074536;2074753;2074862;2075198;2075565;2076047	2074370;2074490;2074705;2074816;2075150;2075519;2075991;2076171	-;-;-;-;-;-;-;-	1788	1407	1651	1540
gene_824	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2076337;2076857;2077262;2077537;2077696;2080191	2076813;2077221;2077495;2077647;2080140;2081107	+;+;+;+;+;+	4549	2849	3084	3122
gene_825	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2080900;2081155;2081323;2081392;2081526;2081638;2081834;2081989;2082083;2082257;2082484;2082663;2082983;2083274;2083419;2083487;2083567;2083654;2083795	2081101;2081275;2081342;2081478;2081594;2081790;2081943;2082028;2082198;2082443;2082608;2082939;2083226;2083374;2083442;2083517;2083601;2083727;2084206	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2428	1104	1299	1130
gene_826	scaffold_1;scaffold_1	2084743;2085621	2085556;2086864	-;-	2058	10	20	10
gene_827	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2087763;2088512;2088702;2088986;2089181;2089376;2089719;2090052;2090132;2090229	2088463;2088649;2088934;2089133;2089330;2089672;2090005;2090082;2090185;2090661	-;-;-;-;-;-;-;-;-;-	2472	959	1064	1109
gene_828	scaffold_1;scaffold_1;scaffold_1	2090798;2091220;2091935	2091172;2091859;2092035	+;+;+	1116	3023	3439	3083
gene_829	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2093272;2093365;2093499;2093618;2093985	2093315;2093446;2093568;2093915;2094897	+;+;+;+;+	1407	211	220	338
gene_830	scaffold_1	2095077	2095846	+	770	1942	2331	2330
gene_832	scaffold_1;scaffold_1;scaffold_1;scaffold_1	2098369;2099066;2099543;2099926	2099009;2099486;2099875;2100402	+;+;+;+	1872	20588	22779	20601
gene_833	scaffold_1;scaffold_1;scaffold_1	2100403;2100630;2101659	2100581;2101604;2101910	-;-;-	1406	1345	1451	1588
gene_834	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2102106;2102946;2103806;2103959;2104055;2104110	2102889;2103755;2103914;2104008;2104065;2104550	+;+;+;+;+;+	2205	14978	16216	15915
gene_835	scaffold_1;scaffold_1;scaffold_1;scaffold_1	2104690;2105057;2105237;2105458	2105009;2105091;2105406;2107167	+;+;+;+	2235	1503	1679	1573
gene_836	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2107267;2107483;2107592;2107748;2107930;2108066;2108283	2107436;2107542;2107700;2107881;2108016;2108213;2108725	-;-;-;-;-;-;-	1151	40	91	52
gene_837	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2108821;2109245;2109441;2109552;2110213;2110381;2110474;2110761	2109196;2109388;2109505;2110162;2110337;2110432;2110715;2111089	+;+;+;+;+;+;+;+	1944	4484	5218	4681
gene_839	scaffold_1;scaffold_1;scaffold_1	2112290;2112629;2112764	2112579;2112711;2113041	-;-;-	651	358	403	383
gene_840	scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1;scaffold_1	2113217;2113408;2113558;2113682;2113772;2116488;2116617;2116710;2116889;2117096;2117228;2117290;2117385;2117449;2117563;2117780	2113348;2113512;2113626;2113738;2116436;2116569;2116667;2116843;2117049;2117115;2117242;2117337;2117407;2117518;2117732;2117946	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3969	1401	1347	1452
