Reaction,Subsystem
r_0177,Tryptophan metabolism
r_0177,"Valine, leucine and isoleucine degradation"
r_0177,beta-Alanine metabolism
r_0178,Arginine and proline metabolism
r_0178,Biosynthesis of antibiotics
r_0178,Biosynthesis of secondary metabolites
r_0178,Fatty acid degradation
r_0178,Gluconeogenesis
r_0178,Glycerolipid metabolism
r_0178,Glycolysis
r_0178,Histidine metabolism
r_0178,Lysine degradation
r_0178,Pyruvate metabolism
r_0178,Tryptophan metabolism
r_0178,"Valine, leucine and isoleucine degradation"
r_0178,beta-Alanine metabolism
r_0201,Arginine and proline metabolism
r_0201,Biosynthesis of antibiotics
r_0201,Biosynthesis of secondary metabolites
r_0201,Fatty acid degradation
r_0201,Gluconeogenesis
r_0201,Glycerolipid metabolism
r_0201,Glycolysis
r_0201,Histidine metabolism
r_0201,Lysine degradation
r_0201,Pyruvate metabolism
r_0201,Tryptophan metabolism
r_0201,"Valine, leucine and isoleucine degradation"
r_0201,beta-Alanine metabolism
r_0817,Arginine and proline metabolism
r_0817,Biosynthesis of antibiotics
r_0817,Biosynthesis of secondary metabolites
r_0817,Glutathione metabolism
r_0145,Arginine and proline metabolism
r_0145,Cysteine and methionine metabolism
r_1001,Arginine and proline metabolism
r_1001,Cysteine and methionine metabolism
r_1001,Glutathione metabolism
r_1001,beta-Alanine metabolism
r_1002,Arginine and proline metabolism
r_1002,Cysteine and methionine metabolism
r_1002,Glutathione metabolism
r_1002,beta-Alanine metabolism
r_0191,Arginine biosynthesis
r_0191,Atrazine degradation
r_1075,Arginine biosynthesis
r_1075,Atrazine degradation
r_0816,Arginine biosynthesis
r_0816,Biosynthesis of amino acids
r_0816,Biosynthesis of antibiotics
r_0816,Biosynthesis of secondary metabolites
r_1188,Autophagy - yeast
r_1198,Autophagy - yeast
r_1204,Autophagy - yeast
r_1210,Autophagy - yeast
r_1222,Autophagy - yeast
r_0572,Autophagy - yeast
r_0572,Inositol phosphate metabolism
r_0572,Phosphatidylinositol signaling system
r_0573,Autophagy - yeast
r_0573,Inositol phosphate metabolism
r_0573,Phosphatidylinositol signaling system
r_0574,Autophagy - yeast
r_0574,Inositol phosphate metabolism
r_0574,Phosphatidylinositol signaling system
r_0575,Autophagy - yeast
r_0575,Inositol phosphate metabolism
r_0575,Phosphatidylinositol signaling system
r_0993,Autophagy - yeast
r_0993,Sphingolipid metabolism
y300062,beta-Alanine metabolism
r_0689,Biosynthesis of amino acids
r_0689,Biosynthesis of antibiotics
r_0689,Biosynthesis of secondary metabolites
r_0689,Carbon metabolism
r_0689,Cysteine and methionine metabolism
r_0689,"Glycine, serine and threonine metabolism"
r_0689,"Valine, leucine and isoleucine biosynthesis"
r_0692,Biosynthesis of amino acids
r_0692,Biosynthesis of antibiotics
r_0692,Biosynthesis of secondary metabolites
r_0692,Carbon metabolism
r_0692,Cysteine and methionine metabolism
r_0692,"Glycine, serine and threonine metabolism"
r_0692,"Valine, leucine and isoleucine biosynthesis"
r_0312,Biosynthesis of amino acids
r_0312,Biosynthesis of antibiotics
r_0312,Biosynthesis of secondary metabolites
r_0312,Carbon metabolism
r_0312,Cysteine and methionine metabolism
r_0312,Sulfur metabolism
r_0812,Biosynthesis of amino acids
r_0812,Biosynthesis of antibiotics
r_0812,Biosynthesis of secondary metabolites
r_0812,Carbon metabolism
r_0812,Cysteine and methionine metabolism
r_0812,Sulfur metabolism
r_0813,Biosynthesis of amino acids
r_0813,Biosynthesis of antibiotics
r_0813,Biosynthesis of secondary metabolites
r_0813,Carbon metabolism
r_0813,Cysteine and methionine metabolism
r_0813,Sulfur metabolism
r_0886,Biosynthesis of amino acids
r_0886,Biosynthesis of antibiotics
r_0886,Biosynthesis of secondary metabolites
r_0886,Carbon metabolism
r_0886,Fructose and mannose metabolism
r_0886,Galactose metabolism
r_0886,Gluconeogenesis
r_0886,Glycolysis
r_0886,Pentose phosphate pathway
r_0886,RNA degradation
r_0887,Biosynthesis of amino acids
r_0887,Biosynthesis of antibiotics
r_0887,Biosynthesis of secondary metabolites
r_0887,Carbon metabolism
r_0887,Fructose and mannose metabolism
r_0887,Galactose metabolism
r_0887,Gluconeogenesis
r_0887,Glycolysis
r_0887,Pentose phosphate pathway
r_0887,RNA degradation
r_1054,Biosynthesis of amino acids
r_1054,Biosynthesis of antibiotics
r_1054,Biosynthesis of secondary metabolites
r_1054,Carbon metabolism
r_1054,Fructose and mannose metabolism
r_1054,Gluconeogenesis
r_1054,Glycolysis
r_1054,Inositol phosphate metabolism
r_0322,Biosynthesis of amino acids
r_0322,Biosynthesis of antibiotics
r_0322,Biosynthesis of secondary metabolites
r_0322,Carbon metabolism
r_0322,Fructose and mannose metabolism
r_0322,Gluconeogenesis
r_0322,Glycolysis
r_0322,Pentose phosphate pathway
r_0450,Biosynthesis of amino acids
r_0450,Biosynthesis of antibiotics
r_0450,Biosynthesis of secondary metabolites
r_0450,Carbon metabolism
r_0450,Fructose and mannose metabolism
r_0450,Gluconeogenesis
r_0450,Glycolysis
r_0450,Pentose phosphate pathway
r_0990,Biosynthesis of amino acids
r_0990,Biosynthesis of antibiotics
r_0990,Biosynthesis of secondary metabolites
r_0990,Carbon metabolism
r_0990,Fructose and mannose metabolism
r_0990,Gluconeogenesis
r_0990,Glycolysis
r_0990,Pentose phosphate pathway
r_0356,Biosynthesis of amino acids
r_0356,Biosynthesis of antibiotics
r_0356,Biosynthesis of secondary metabolites
r_0356,Carbon metabolism
r_0356,Gluconeogenesis
r_0356,"Glycine, serine and threonine metabolism"
r_0356,Glycolysis
r_0893,Biosynthesis of amino acids
r_0893,Biosynthesis of antibiotics
r_0893,Biosynthesis of secondary metabolites
r_0893,Carbon metabolism
r_0893,Gluconeogenesis
r_0893,"Glycine, serine and threonine metabolism"
r_0893,Glycolysis
r_2126,Biosynthesis of amino acids
r_2126,Biosynthesis of antibiotics
r_2126,Biosynthesis of secondary metabolites
r_2126,Carbon metabolism
r_2126,Gluconeogenesis
r_2126,"Glycine, serine and threonine metabolism"
r_2126,Glycolysis
r_0486,Biosynthesis of amino acids
r_0486,Biosynthesis of antibiotics
r_0486,Biosynthesis of secondary metabolites
r_0486,Carbon metabolism
r_0486,Gluconeogenesis
r_0486,Glycolysis
r_0892,Biosynthesis of amino acids
r_0892,Biosynthesis of antibiotics
r_0892,Biosynthesis of secondary metabolites
r_0892,Carbon metabolism
r_0892,Gluconeogenesis
r_0892,Glycolysis
r_0962,Biosynthesis of amino acids
r_0962,Biosynthesis of antibiotics
r_0962,Biosynthesis of secondary metabolites
r_0962,Carbon metabolism
r_0962,Gluconeogenesis
r_0962,Glycolysis
r_0962,Purine metabolism
r_0962,Pyruvate metabolism
r_0366,Biosynthesis of amino acids
r_0366,Biosynthesis of antibiotics
r_0366,Biosynthesis of secondary metabolites
r_0366,Carbon metabolism
r_0366,Gluconeogenesis
r_0366,Glycolysis
r_0366,RNA degradation
r_0502,Biosynthesis of amino acids
r_0502,Biosynthesis of antibiotics
r_0502,Biosynthesis of secondary metabolites
r_0502,Carbon metabolism
r_0502,"Glycine, serine and threonine metabolism"
r_0502,Glyoxylate and dicarboxylate metabolism
r_0502,One carbon pool by folate
r_0503,Biosynthesis of amino acids
r_0503,Biosynthesis of antibiotics
r_0503,Biosynthesis of secondary metabolites
r_0503,Carbon metabolism
r_0503,"Glycine, serine and threonine metabolism"
r_0503,Glyoxylate and dicarboxylate metabolism
r_0503,One carbon pool by folate
r_0693,Biosynthesis of amino acids
r_0693,Biosynthesis of antibiotics
r_0693,Biosynthesis of secondary metabolites
r_0693,Carbon metabolism
r_0693,"Glycine, serine and threonine metabolism"
r_0693,"Valine, leucine and isoleucine biosynthesis"
r_0984,Biosynthesis of amino acids
r_0984,Biosynthesis of antibiotics
r_0984,Biosynthesis of secondary metabolites
r_0984,Carbon metabolism
r_0984,Pentose and glucuronate interconversions
r_0984,Pentose phosphate pathway
r_0982,Biosynthesis of amino acids
r_0982,Biosynthesis of antibiotics
r_0982,Biosynthesis of secondary metabolites
r_0982,Carbon metabolism
r_0982,Pentose phosphate pathway
r_1048,Biosynthesis of amino acids
r_1048,Biosynthesis of antibiotics
r_1048,Biosynthesis of secondary metabolites
r_1048,Carbon metabolism
r_1048,Pentose phosphate pathway
r_1049,Biosynthesis of amino acids
r_1049,Biosynthesis of antibiotics
r_1049,Biosynthesis of secondary metabolites
r_1049,Carbon metabolism
r_1049,Pentose phosphate pathway
r_1050,Biosynthesis of amino acids
r_1050,Biosynthesis of antibiotics
r_1050,Biosynthesis of secondary metabolites
r_1050,Carbon metabolism
r_1050,Pentose phosphate pathway
r_0916,Biosynthesis of amino acids
r_0916,Biosynthesis of antibiotics
r_0916,Biosynthesis of secondary metabolites
r_0916,Carbon metabolism
r_0916,Pentose phosphate pathway
r_0916,Purine metabolism
r_0546,Biosynthesis of amino acids
r_0546,Biosynthesis of antibiotics
r_0546,Biosynthesis of secondary metabolites
r_0546,Cysteine and methionine metabolism
r_0546,"Glycine, serine and threonine metabolism"
r_0546,Lysine biosynthesis
r_0547,Biosynthesis of amino acids
r_0547,Biosynthesis of antibiotics
r_0547,Biosynthesis of secondary metabolites
r_0547,Cysteine and methionine metabolism
r_0547,"Glycine, serine and threonine metabolism"
r_0547,Lysine biosynthesis
r_0311,Biosynthesis of amino acids
r_0311,Biosynthesis of antibiotics
r_0311,Biosynthesis of secondary metabolites
r_0311,Cysteine and methionine metabolism
r_0311,Selenocompound metabolism
r_0311,Sulfur metabolism
r_1055,Biosynthesis of amino acids
r_1055,Biosynthesis of antibiotics
r_1055,Biosynthesis of secondary metabolites
r_1055,"Glycine, serine and threonine metabolism"
r_1055,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0538,Biosynthesis of amino acids
r_0538,Biosynthesis of antibiotics
r_0538,Biosynthesis of secondary metabolites
r_0538,Histidine metabolism
r_0538,Phenylalanine metabolism
r_0538,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0538,Tyrosine metabolism
r_0988,Biosynthesis of amino acids
r_0988,Biosynthesis of antibiotics
r_0988,Biosynthesis of secondary metabolites
r_0988,Lysine biosynthesis
r_0988,Lysine degradation
r_0989,Biosynthesis of amino acids
r_0989,Biosynthesis of antibiotics
r_0989,Biosynthesis of secondary metabolites
r_0989,Lysine biosynthesis
r_0989,Lysine degradation
r_0678,Biosynthesis of amino acids
r_0678,Biosynthesis of antibiotics
r_0678,Biosynthesis of secondary metabolites
r_0678,Lysine biosynthesis
r_0678,Pantothenate and CoA biosynthesis
r_0020,Biosynthesis of amino acids
r_0020,Biosynthesis of antibiotics
r_0020,Biosynthesis of secondary metabolites
r_0020,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0039,Biosynthesis of amino acids
r_0039,Biosynthesis of antibiotics
r_0039,Biosynthesis of secondary metabolites
r_0039,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0040,Biosynthesis of amino acids
r_0040,Biosynthesis of antibiotics
r_0040,Biosynthesis of secondary metabolites
r_0040,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0042,Biosynthesis of amino acids
r_0042,Biosynthesis of antibiotics
r_0042,Biosynthesis of secondary metabolites
r_0042,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0065,Biosynthesis of amino acids
r_0065,Biosynthesis of antibiotics
r_0065,Biosynthesis of secondary metabolites
r_0065,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0202,Biosynthesis of amino acids
r_0202,Biosynthesis of antibiotics
r_0202,Biosynthesis of secondary metabolites
r_0202,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0203,Biosynthesis of amino acids
r_0203,Biosynthesis of antibiotics
r_0203,Biosynthesis of secondary metabolites
r_0203,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0278,Biosynthesis of amino acids
r_0278,Biosynthesis of antibiotics
r_0278,Biosynthesis of secondary metabolites
r_0278,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0279,Biosynthesis of amino acids
r_0279,Biosynthesis of antibiotics
r_0279,Biosynthesis of secondary metabolites
r_0279,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0566,Biosynthesis of amino acids
r_0566,Biosynthesis of antibiotics
r_0566,Biosynthesis of secondary metabolites
r_0566,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0913,Biosynthesis of amino acids
r_0913,Biosynthesis of antibiotics
r_0913,Biosynthesis of secondary metabolites
r_0913,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0938,Biosynthesis of amino acids
r_0938,Biosynthesis of antibiotics
r_0938,Biosynthesis of secondary metabolites
r_0938,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0996,Biosynthesis of amino acids
r_0996,Biosynthesis of antibiotics
r_0996,Biosynthesis of secondary metabolites
r_0996,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0997,Biosynthesis of amino acids
r_0997,Biosynthesis of antibiotics
r_0997,Biosynthesis of secondary metabolites
r_0997,"Phenylalanine, tyrosine and tryptophan biosynthesis"
r_0891,Biosynthesis of amino acids
r_0891,Biosynthesis of antibiotics
r_0891,Carbon metabolism
r_0891,"Glycine, serine and threonine metabolism"
r_0917,Biosynthesis of amino acids
r_0917,Biosynthesis of antibiotics
r_0917,Carbon metabolism
r_0917,"Glycine, serine and threonine metabolism"
r_0918,Biosynthesis of amino acids
r_0918,Biosynthesis of antibiotics
r_0918,Carbon metabolism
r_0918,"Glycine, serine and threonine metabolism"
r_0918,Vitamin B6 metabolism
r_0309,Biosynthesis of amino acids
r_0309,Biosynthesis of antibiotics
r_0309,Cysteine and methionine metabolism
r_0309,"Glycine, serine and threonine metabolism"
r_0310,Biosynthesis of amino acids
r_0310,Biosynthesis of antibiotics
r_0310,Cysteine and methionine metabolism
r_0310,"Glycine, serine and threonine metabolism"
r_0310,Selenocompound metabolism
r_0815,Biosynthesis of amino acids
r_0815,Biosynthesis of antibiotics
r_0815,Cysteine and methionine metabolism
r_0815,"Glycine, serine and threonine metabolism"
r_0815,Selenocompound metabolism
r_0726,Biosynthesis of amino acids
r_0726,Biosynthesis of secondary metabolites
r_0726,Cysteine and methionine metabolism
r_0085,Biosynthesis of amino acids
r_0085,Biosynthesis of secondary metabolites
r_0085,Cysteine and methionine metabolism
r_0085,Selenocompound metabolism
r_0308,Biosynthesis of amino acids
r_0308,Biosynthesis of secondary metabolites
r_0308,Cysteine and methionine metabolism
r_0308,Selenocompound metabolism
r_0727,Biosynthesis of amino acids
r_0727,Biosynthesis of secondary metabolites
r_0727,Cysteine and methionine metabolism
r_0727,Selenocompound metabolism
r_0548,Biosynthesis of amino acids
r_0548,Biosynthesis of secondary metabolites
r_0548,"Glycine, serine and threonine metabolism"
r_0069,Biosynthesis of amino acids
r_0069,Biosynthesis of secondary metabolites
r_0069,"Glycine, serine and threonine metabolism"
r_0069,Vitamin B6 metabolism
r_1041,Biosynthesis of amino acids
r_1041,Biosynthesis of secondary metabolites
r_1041,"Glycine, serine and threonine metabolism"
r_1041,Vitamin B6 metabolism
r_0007,Biosynthesis of amino acids
r_0007,Biosynthesis of secondary metabolites
r_0007,Histidine metabolism
r_0225,Biosynthesis of amino acids
r_0225,Biosynthesis of secondary metabolites
r_0225,Histidine metabolism
r_0536,Biosynthesis of amino acids
r_0536,Biosynthesis of secondary metabolites
r_0536,Histidine metabolism
r_0537,Biosynthesis of amino acids
r_0537,Biosynthesis of secondary metabolites
r_0537,Histidine metabolism
r_0563,Biosynthesis of amino acids
r_0563,Biosynthesis of secondary metabolites
r_0563,Histidine metabolism
r_0564,Biosynthesis of amino acids
r_0564,Biosynthesis of secondary metabolites
r_0564,Histidine metabolism
r_0909,Biosynthesis of amino acids
r_0909,Biosynthesis of secondary metabolites
r_0909,Histidine metabolism
r_0910,Biosynthesis of amino acids
r_0910,Biosynthesis of secondary metabolites
r_0910,Histidine metabolism
r_4042,Biosynthesis of amino acids
r_4042,Biosynthesis of secondary metabolites
r_4042,Histidine metabolism
r_0958,Biosynthesis of amino acids
r_0958,Carbon metabolism
r_0958,Citrate cycle (TCA cycle)
r_0958,Pyruvate metabolism
r_0100,Biosynthesis of antibiotics
r_0100,Biosynthesis of secondary metabolites
r_0100,Biosynthesis of unsaturated fatty acids
r_0100,Fatty acid degradation
r_0100,Fatty acid metabolism
r_0100,Peroxisome
r_0100,"Valine, leucine and isoleucine degradation"
r_0101,Biosynthesis of antibiotics
r_0101,Biosynthesis of secondary metabolites
r_0101,Biosynthesis of unsaturated fatty acids
r_0101,Fatty acid degradation
r_0101,Fatty acid metabolism
r_0101,Peroxisome
r_0101,"Valine, leucine and isoleucine degradation"
r_0102,Biosynthesis of antibiotics
r_0102,Biosynthesis of secondary metabolites
r_0102,Biosynthesis of unsaturated fatty acids
r_0102,Fatty acid degradation
r_0102,Fatty acid metabolism
r_0102,Peroxisome
r_0102,"Valine, leucine and isoleucine degradation"
r_0105,Biosynthesis of antibiotics
r_0105,Biosynthesis of secondary metabolites
r_0105,Biosynthesis of unsaturated fatty acids
r_0105,Fatty acid degradation
r_0105,Fatty acid metabolism
r_0105,Peroxisome
r_0105,"Valine, leucine and isoleucine degradation"
r_0106,Biosynthesis of antibiotics
r_0106,Biosynthesis of secondary metabolites
r_0106,Biosynthesis of unsaturated fatty acids
r_0106,Fatty acid degradation
r_0106,Fatty acid metabolism
r_0106,Peroxisome
r_0106,"Valine, leucine and isoleucine degradation"
r_0107,Biosynthesis of antibiotics
r_0107,Biosynthesis of secondary metabolites
r_0107,Biosynthesis of unsaturated fatty acids
r_0107,Fatty acid degradation
r_0107,Fatty acid metabolism
r_0107,Peroxisome
r_0107,"Valine, leucine and isoleucine degradation"
r_2283,Biosynthesis of antibiotics
r_2283,Biosynthesis of secondary metabolites
r_2283,Biosynthesis of unsaturated fatty acids
r_2283,Fatty acid degradation
r_2283,Fatty acid metabolism
r_2283,Peroxisome
r_2283,"Valine, leucine and isoleucine degradation"
r_2284,Biosynthesis of antibiotics
r_2284,Biosynthesis of secondary metabolites
r_2284,Biosynthesis of unsaturated fatty acids
r_2284,Fatty acid degradation
r_2284,Fatty acid metabolism
r_2284,Peroxisome
r_2284,"Valine, leucine and isoleucine degradation"
r_2285,Biosynthesis of antibiotics
r_2285,Biosynthesis of secondary metabolites
r_2285,Biosynthesis of unsaturated fatty acids
r_2285,Fatty acid degradation
r_2285,Fatty acid metabolism
r_2285,Peroxisome
r_2285,"Valine, leucine and isoleucine degradation"
r_2286,Biosynthesis of antibiotics
r_2286,Biosynthesis of secondary metabolites
r_2286,Biosynthesis of unsaturated fatty acids
r_2286,Fatty acid degradation
r_2286,Fatty acid metabolism
r_2286,Peroxisome
r_2286,"Valine, leucine and isoleucine degradation"
r_2287,Biosynthesis of antibiotics
r_2287,Biosynthesis of secondary metabolites
r_2287,Biosynthesis of unsaturated fatty acids
r_2287,Fatty acid degradation
r_2287,Fatty acid metabolism
r_2287,Peroxisome
r_2287,"Valine, leucine and isoleucine degradation"
r_2288,Biosynthesis of antibiotics
r_2288,Biosynthesis of secondary metabolites
r_2288,Biosynthesis of unsaturated fatty acids
r_2288,Fatty acid degradation
r_2288,Fatty acid metabolism
r_2288,Peroxisome
r_2288,"Valine, leucine and isoleucine degradation"
r_2289,Biosynthesis of antibiotics
r_2289,Biosynthesis of secondary metabolites
r_2289,Biosynthesis of unsaturated fatty acids
r_2289,Fatty acid degradation
r_2289,Fatty acid metabolism
r_2289,Peroxisome
r_2289,"Valine, leucine and isoleucine degradation"
r_2290,Biosynthesis of antibiotics
r_2290,Biosynthesis of secondary metabolites
r_2290,Biosynthesis of unsaturated fatty acids
r_2290,Fatty acid degradation
r_2290,Fatty acid metabolism
r_2290,Peroxisome
r_2290,"Valine, leucine and isoleucine degradation"
r_2291,Biosynthesis of antibiotics
r_2291,Biosynthesis of secondary metabolites
r_2291,Biosynthesis of unsaturated fatty acids
r_2291,Fatty acid degradation
r_2291,Fatty acid metabolism
r_2291,Peroxisome
r_2291,"Valine, leucine and isoleucine degradation"
r_2292,Biosynthesis of antibiotics
r_2292,Biosynthesis of secondary metabolites
r_2292,Biosynthesis of unsaturated fatty acids
r_2292,Fatty acid degradation
r_2292,Fatty acid metabolism
r_2292,Peroxisome
r_2292,"Valine, leucine and isoleucine degradation"
r_2293,Biosynthesis of antibiotics
r_2293,Biosynthesis of secondary metabolites
r_2293,Biosynthesis of unsaturated fatty acids
r_2293,Fatty acid degradation
r_2293,Fatty acid metabolism
r_2293,Peroxisome
r_2293,"Valine, leucine and isoleucine degradation"
r_2294,Biosynthesis of antibiotics
r_2294,Biosynthesis of secondary metabolites
r_2294,Biosynthesis of unsaturated fatty acids
r_2294,Fatty acid degradation
r_2294,Fatty acid metabolism
r_2294,Peroxisome
r_2294,"Valine, leucine and isoleucine degradation"
r_0103,Biosynthesis of antibiotics
r_0103,Biosynthesis of secondary metabolites
r_0103,Butanoate metabolism
r_0103,Carbon metabolism
r_0103,Fatty acid degradation
r_0103,Fatty acid metabolism
r_0103,Glyoxylate and dicarboxylate metabolism
r_0103,Lysine degradation
r_0103,Propanoate metabolism
r_0103,Pyruvate metabolism
r_0103,Synthesis and degradation of ketone bodies
r_0103,Terpenoid backbone biosynthesis
r_0103,Tryptophan metabolism
r_0103,"Valine, leucine and isoleucine degradation"
r_0104,Biosynthesis of antibiotics
r_0104,Biosynthesis of secondary metabolites
r_0104,Butanoate metabolism
r_0104,Carbon metabolism
r_0104,Fatty acid degradation
r_0104,Fatty acid metabolism
r_0104,Glyoxylate and dicarboxylate metabolism
r_0104,Lysine degradation
r_0104,Propanoate metabolism
r_0104,Pyruvate metabolism
r_0104,Synthesis and degradation of ketone bodies
r_0104,Terpenoid backbone biosynthesis
r_0104,Tryptophan metabolism
r_0104,"Valine, leucine and isoleucine degradation"
r_0559,Biosynthesis of antibiotics
r_0559,Biosynthesis of secondary metabolites
r_0559,Butanoate metabolism
r_0559,Synthesis and degradation of ketone bodies
r_0559,Terpenoid backbone biosynthesis
r_0559,"Valine, leucine and isoleucine degradation"
r_0560,Biosynthesis of antibiotics
r_0560,Biosynthesis of secondary metabolites
r_0560,Butanoate metabolism
r_0560,Synthesis and degradation of ketone bodies
r_0560,Terpenoid backbone biosynthesis
r_0560,"Valine, leucine and isoleucine degradation"
r_0713,Biosynthesis of antibiotics
r_0713,Biosynthesis of secondary metabolites
r_0713,Carbon metabolism
r_0713,Citrate cycle (TCA cycle)
r_0713,Cysteine and methionine metabolism
r_0713,Glyoxylate and dicarboxylate metabolism
r_0713,Pyruvate metabolism
r_0714,Biosynthesis of antibiotics
r_0714,Biosynthesis of secondary metabolites
r_0714,Carbon metabolism
r_0714,Citrate cycle (TCA cycle)
r_0714,Cysteine and methionine metabolism
r_0714,Glyoxylate and dicarboxylate metabolism
r_0714,Pyruvate metabolism
r_0715,Biosynthesis of antibiotics
r_0715,Biosynthesis of secondary metabolites
r_0715,Carbon metabolism
r_0715,Citrate cycle (TCA cycle)
r_0715,Cysteine and methionine metabolism
r_0715,Glyoxylate and dicarboxylate metabolism
r_0715,Pyruvate metabolism
r_0505,Biosynthesis of antibiotics
r_0505,Biosynthesis of secondary metabolites
r_0505,Carbon metabolism
r_0505,Citrate cycle (TCA cycle)
r_0505,Gluconeogenesis
r_0505,"Glycine, serine and threonine metabolism"
r_0505,Glycolysis
r_0505,Glyoxylate and dicarboxylate metabolism
r_0505,Lysine degradation
r_0505,One carbon pool by folate
r_0505,Propanoate metabolism
r_0505,Pyruvate metabolism
r_0505,Tryptophan metabolism
r_0505,"Valine, leucine and isoleucine degradation"
r_0831,Biosynthesis of antibiotics
r_0831,Biosynthesis of secondary metabolites
r_0831,Carbon metabolism
r_0831,Citrate cycle (TCA cycle)
r_0831,Gluconeogenesis
r_0831,"Glycine, serine and threonine metabolism"
r_0831,Glycolysis
r_0831,Glyoxylate and dicarboxylate metabolism
r_0831,Lysine degradation
r_0831,Propanoate metabolism
r_0831,Pyruvate metabolism
r_0831,Tryptophan metabolism
r_0831,"Valine, leucine and isoleucine degradation"
r_0832,Biosynthesis of antibiotics
r_0832,Biosynthesis of secondary metabolites
r_0832,Carbon metabolism
r_0832,Citrate cycle (TCA cycle)
r_0832,Gluconeogenesis
r_0832,"Glycine, serine and threonine metabolism"
r_0832,Glycolysis
r_0832,Glyoxylate and dicarboxylate metabolism
r_0832,Lysine degradation
r_0832,Propanoate metabolism
r_0832,Pyruvate metabolism
r_0832,Tryptophan metabolism
r_0832,"Valine, leucine and isoleucine degradation"
r_0501,Biosynthesis of antibiotics
r_0501,Biosynthesis of secondary metabolites
r_0501,Carbon metabolism
r_0501,Citrate cycle (TCA cycle)
r_0501,Gluconeogenesis
r_0501,"Glycine, serine and threonine metabolism"
r_0501,Glycolysis
r_0501,Glyoxylate and dicarboxylate metabolism
r_0501,One carbon pool by folate
r_0501,Propanoate metabolism
r_0501,Pyruvate metabolism
r_0501,"Valine, leucine and isoleucine degradation"
r_0504,Biosynthesis of antibiotics
r_0504,Biosynthesis of secondary metabolites
r_0504,Carbon metabolism
r_0504,Citrate cycle (TCA cycle)
r_0504,Gluconeogenesis
r_0504,"Glycine, serine and threonine metabolism"
r_0504,Glycolysis
r_0504,Glyoxylate and dicarboxylate metabolism
r_0504,One carbon pool by folate
r_0504,Propanoate metabolism
r_0504,Pyruvate metabolism
r_0504,"Valine, leucine and isoleucine degradation"
r_0506,Biosynthesis of antibiotics
r_0506,Biosynthesis of secondary metabolites
r_0506,Carbon metabolism
r_0506,Citrate cycle (TCA cycle)
r_0506,Gluconeogenesis
r_0506,"Glycine, serine and threonine metabolism"
r_0506,Glycolysis
r_0506,Glyoxylate and dicarboxylate metabolism
r_0506,One carbon pool by folate
r_0506,Propanoate metabolism
r_0506,Pyruvate metabolism
r_0506,"Valine, leucine and isoleucine degradation"
r_0507,Biosynthesis of antibiotics
r_0507,Biosynthesis of secondary metabolites
r_0507,Carbon metabolism
r_0507,Citrate cycle (TCA cycle)
r_0507,Gluconeogenesis
r_0507,"Glycine, serine and threonine metabolism"
r_0507,Glycolysis
r_0507,Glyoxylate and dicarboxylate metabolism
r_0507,One carbon pool by folate
r_0507,Propanoate metabolism
r_0507,Pyruvate metabolism
r_0507,"Valine, leucine and isoleucine degradation"
r_0508,Biosynthesis of antibiotics
r_0508,Biosynthesis of secondary metabolites
r_0508,Carbon metabolism
r_0508,Citrate cycle (TCA cycle)
r_0508,Gluconeogenesis
r_0508,"Glycine, serine and threonine metabolism"
r_0508,Glycolysis
r_0508,Glyoxylate and dicarboxylate metabolism
r_0508,One carbon pool by folate
r_0508,Propanoate metabolism
r_0508,Pyruvate metabolism
r_0508,"Valine, leucine and isoleucine degradation"
r_0509,Biosynthesis of antibiotics
r_0509,Biosynthesis of secondary metabolites
r_0509,Carbon metabolism
r_0509,Citrate cycle (TCA cycle)
r_0509,Gluconeogenesis
r_0509,"Glycine, serine and threonine metabolism"
r_0509,Glycolysis
r_0509,Glyoxylate and dicarboxylate metabolism
r_0509,One carbon pool by folate
r_0509,Propanoate metabolism
r_0509,Pyruvate metabolism
r_0509,"Valine, leucine and isoleucine degradation"
r_1030,Biosynthesis of antibiotics
r_1030,Biosynthesis of secondary metabolites
r_1030,Carbon metabolism
r_1030,Citrate cycle (TCA cycle)
r_1030,Gluconeogenesis
r_1030,"Glycine, serine and threonine metabolism"
r_1030,Glycolysis
r_1030,Glyoxylate and dicarboxylate metabolism
r_1030,One carbon pool by folate
r_1030,Propanoate metabolism
r_1030,Pyruvate metabolism
r_1030,"Valine, leucine and isoleucine degradation"
r_0961,Biosynthesis of antibiotics
r_0961,Biosynthesis of secondary metabolites
r_0961,Carbon metabolism
r_0961,Citrate cycle (TCA cycle)
r_0961,Gluconeogenesis
